annotation_index,index,sentence,label,gender
160,2158,"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",0.89,neut
161,398,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,1.00,masc
162,4590,"A few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater .",0.69,neut
163,2723,"Though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed .",0.56,femm
164,571,"( T ) here 's only so much anyone can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",0.07,neut
165,582,"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",0.74,neut
166,1926,"Satin Rouge is not a new , or inventive , journey , but it 's encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity .",0.65,femm
167,8237,"They crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness .",0.25,neut
168,759,It is so refreshing to see Robin Williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,0.74,masc
169,7809,"When ( Reno ) lets her radical flag fly , taking angry potshots at George W. Bush , Henry Kissinger , Larry King , et al. , Reno devolves into a laugh-free lecture .",0.39,femm
170,1684,"the story itself is uninteresting , and the songs are painfully undistinguished : They Might Be Giants ' So to Be One of Us may be the most tuneless tune ever composed .",0.08,neut
171,1633,"If Myers decides to make another Austin Powers movie , maybe he should just stick with Austin and Dr Evil .",0.26,masc
172,1261,The movie should be credited with remembering his victims .,0.60,masc
173,2881,Campbell Scott finds the ideal outlet for his flick-knife diction in the role of Roger Swanson .,0.69,masc
174,88,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",0.72,neut
175,4863,Those of you who are not an eighth grade girl will most likely doze off during this one .,0.11,femm
176,6011,"Here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .",0.33,neut
177,1437,She boxes these women 's souls right open for us .,0.75,femm
178,1486,"Not always too whimsical for its own good ( but enough to do harm ) , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs .",0.43,femm
179,150,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,0.64,masc
180,1354,"If you 're not a prepubescent girl , you 'll be laughing at Britney Spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch .",0.29,femm
181,278,"Even if you do n't think ( Kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",0.67,masc
182,1049,Hit and miss as far as the comedy goes and a big ole ' miss in the way of story .,0.28,femm
183,1091,"The stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .",0.76,femm
184,8081,"Some writer dude , I think his name was , uh , Michael Zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that I ever saw that was written down were the zeroes on my paycheck .",0.15,masc
185,3676,"( Shyamalan ) continues to cut a swathe through mainstream Hollywood , while retaining an integrity and refusing to compromise his vision .",0.78,masc
186,827,"Lohman adapts to the changes required of her , but the actress and director Peter Kosminsky never get the audience to break through the wall her character erects",0.44,femm
187,4621,"Adults , other than the parents ... will be hard pressed to succumb to the call of the wild .",0.32,neut
188,420,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",0.81,femm
189,1500,"In the second half of the film , Frei 's control loosens in direct proportion to the amount of screen time he gives Nachtwey for self-analysis .",0.33,masc
190,634,He simply presents his point of view that Ayurveda works .,0.67,masc
191,6372,"scenario that will give most parents pause ... Then , something terrible happens .",0.43,neut
192,2257,And he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .,0.79,masc
193,1694,"Lanie 's professional success means she must be a failure at life , because she 's driven by ambition and Does n't Know How to Have Fun .",0.35,femm
194,5138,Why did they deem it necessary to document all this emotional misery ?,0.21,neut
195,5475,"It sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",0.22,neut
196,2498,"It lets you brush up against the humanity of a psycho , without making him any less psycho .",0.64,masc
197,6338,What goes on for the 110 minutes of `` Panic Room '' is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals .,0.32,femm
198,1602,"Will probably stay in the shadow of its two older , more accessible Qatsi siblings .",0.39,neut
